role,skills
Data Analyst,"python,sql,excel,tableau,power bi,data cleaning,statistics,data visualization"
AI Engineer,"python,numpy,pandas,scikit-learn,keras,nlp,deep learning,transformers,openai"
ML Engineer,"python,numpy,pandas,scikit-learn,matplotlib,deep learning,neural networks,tensorflow"
Software Developer,"java,python,c++,data structures,algorithms,oop,git,debugging"
Full Stack Developer,"html,css,javascript,react,node.js,mongodb,express,django,rest api"
Android Developer,"java,kotlin,android studio,xml,sqlite,retrofit,mvvm"
Frontend Developer,"html,css,javascript,react,redux,bootstrap,tailwind"
Backend Developer,"node.js,express,mongodb,sql,django,flask,api design,jwt authentication"
Cloud Engineer,"aws,azure,gcp,docker,kubernetes,devops,terraform,linux"
Cybersecurity Analyst,"network security,ethical hacking,firewall,linux,threat modeling,wireshark,penetration testing"
DevOps Engineer,"git,jenkins,ci/cd,docker,kubernetes,ansible,linux,shell scripting"
Embedded Systems Engineer,"c,embedded c,arduino,raspberry pi,microcontrollers,real-time systems"
VLSI Engineer,"verilog,vhdl,fpga,cmos,cadence,synthesis,timing analysis"
IoT Engineer,"c,arduino,esp32,sensors,mqtt,node-red,wireless protocols"
Control Systems Engineer,"matlab,simulink,control theory,system modeling,state space,laplace transform"
Electrical Engineer,"matlab,pspice,simulink,circuit analysis,power systems,electrical machines"
Mechanical Engineer,"autocad,solidworks,ansys,thermal analysis,cad cam,material science"
Civil Engineer,"autocad,staad pro,etabs,revit,concrete design,soil mechanics,construction management"
Robotics Engineer,"ros,python,c++,opencv,embedded systems,ai,motion planning,sensors"
